City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Clyde River,CA,2022-11-08 23:16:00,70.4692,-68.5914,7.03,78,100,13.8
273,Longyearbyen,SJ,2022-11-08 23:16:00,78.2186,15.6401,24.64,74,75,4.61
274,Saldanha,ZA,2022-11-08 23:16:00,-33.0117,17.9442,59.05,78,56,6.85
275,Kashin,RU,2022-11-08 23:16:01,57.3592,37.6081,42.01,94,100,11.03
276,Kodiak,US,2022-11-08 23:16:01,57.79,-152.4072,42.31,100,100,21.85
277,Karakol,KG,2022-11-08 23:16:01,42.4907,78.3936,29.77,65,100,11.52
278,Drayton Valley,CA,2022-11-08 23:16:01,53.2168,-114.9854,4.35,91,100,4.07
279,Tessalit,ML,2022-11-08 23:16:02,20.1986,1.0114,72.66,15,0,10.2
280,Boyolangu,ID,2022-11-08 23:16:02,-8.1181,111.8935,76.05,89,95,0.27
281,Oussouye,SN,2022-11-08 23:16:02,12.485,-16.5469,77.09,71,98,7.02
282,Kalmunai,LK,2022-11-08 23:16:03,7.4167,81.8167,75.94,92,100,8.88
283,Marsa Matruh,EG,2022-11-08 23:16:03,31.3525,27.2453,67.42,66,0,8.21
284,Kampong Thum,KH,2022-11-08 23:16:03,12.7111,104.8887,72.23,88,100,3.04
285,Riviere-Au-Renard,CA,2022-11-08 23:16:04,48.9957,-64.3971,39.49,64,65,32.82
286,Leningradskiy,RU,2022-11-08 23:16:04,69.3833,178.4167,17.17,87,100,26.33
287,Yarke Pole,UA,2022-11-08 23:16:05,45.608,34.3172,40.23,87,52,2.75
288,Kazachinskoye,RU,2022-11-08 23:16:05,57.6953,93.2761,22.33,96,100,3.09
289,Nemuro,JP,2022-11-08 23:14:28,43.3236,145.575,45.07,69,34,9.82
290,Mianyang,CN,2022-11-08 23:16:05,31.4593,104.7542,60.94,89,100,1.97
291,Bambous Virieux,MU,2022-11-08 23:16:06,-20.3428,57.7575,73.65,78,40,8.05
292,Staryy Krym,UA,2022-11-08 23:16:06,45.0333,35.1,37.69,91,71,5.64
